Feed_date,Total_Revenue,Previous_Revenue,Revenue_Change
2019-08-01,822391.5499999996,843779.0299999992,-21387.479999999632
2019-08-02,754133.8099999991,822391.5499999996,-68257.74000000046
2019-08-03,457860.0699999999,754133.8099999991,-296273.73999999923
2019-08-04,445677.91999999987,457860.0699999999,-12182.150000000023
2019-08-05,830904.5599999992,445677.91999999987,385226.6399999994
2019-08-06,862194.8699999993,830904.5599999992,31290.310000000056
2019-08-07,837938.9899999998,862194.8699999993,-24255.87999999954
2019-08-08,775493.0699999996,837938.9899999998,-62445.92000000016
2019-08-09,681599.9299999995,775493.0699999996,-93893.14000000013
2019-08-10,405952.45,681599.9299999995,-275647.47999999946
2019-08-11,448350.07999999984,405952.45,42397.62999999983
2019-08-12,822488.93,448350.07999999984,374138.8500000002
2019-08-13,789108.1399999999,822488.93,-33380.790000000154
2019-08-14,810135.4799999993,789108.1399999999,21027.339999999385
2019-08-15,809116.2500000005,810135.4799999993,-1019.2299999988172
2019-08-16,767461.39,809116.2500000005,-41654.86000000045
2019-08-17,462811.72,767461.39,-304649.67000000004
2019-08-18,495252.3699999996,462811.72,32440.649999999616
2019-08-19,821532.4199999998,495252.3699999996,326280.0500000002
2019-08-20,794555.0099999997,821532.4199999998,-26977.41000000015
2019-08-21,806424.5499999992,794555.0099999997,11869.539999999572
2019-08-22,719244.4099999998,806424.5499999992,-87180.13999999943
2019-08-23,693470.3699999992,719244.4099999998,-25774.04000000062
2019-08-24,419250.4499999998,693470.3699999992,-274219.9199999994
2019-08-25,440469.24000000005,419250.4499999998,21218.79000000027
2019-08-26,752143.5600000003,440469.24000000005,311674.32000000024
2019-08-27,735040.4299999998,752143.5600000003,-17103.13000000047
2019-08-28,772380.43,735040.4299999998,37340.00000000023
2019-08-29,738271.94,772380.43,-34108.49000000011
2019-08-30,660804.2199999995,738271.94,-77467.72000000044
2019-08-31,415669.99,660804.2199999995,-245134.22999999952
